,last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,twitter_id,facebook,youtube,youtube_id,mastodon,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
10,Tester,Jon,,,,Jon Tester,1956-08-21,M,sen,MT,,1,Democrat,https://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644,https://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov/rss/?p=hot_topic,SenatorTester,515822213,senatortester,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,,T000464,01829,N00027605,S314,S6MT00162,1020176,412244,20928,Jon Tester,,40702,Jon Tester
11,Whitehouse,Sheldon,,,,Sheldon Whitehouse,1955-10-20,M,sen,RI,,1,Democrat,https://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,https://www.whitehouse.senate.gov/contact/email-sheldon,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,SenWhitehouse,242555999,SenatorWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,,W000802,01823,N00027533,S316,S6RI00221,92235,412247,2572,Sheldon Whitehouse,,40704,Sheldon Whitehouse
12,Barrasso,John,A.,,,John Barrasso,1952-07-21,M,sen,WY,,1,Republican,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,SenJohnBarrasso,202206694,johnbarrasso,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,,B001261,01881,N00006236,S317,S6WY00068,1024777,412251,52662,John Barrasso,,40707,John Barrasso
13,Wicker,Roger,F.,,,Roger F. Wicker,1951-07-05,M,sen,MS,,1,Republican,https://www.wicker.senate.gov,425 Russell Senate Office Building Washington DC 20510,202-224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,,SenatorWicker,264219447,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,,W000437,01226,N00003280,S318,"H4MS01078,S8MS00196",18203,400432,21926,Roger Wicker,,29534,Roger Wicker
14,Collins,Susan,M.,,,Susan M. Collins,1952-12-07,F,sen,ME,,2,Republican,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,https://www.collins.senate.gov/contact,http://www.collins.senate.gov/public/?a=rss.feed,SenatorCollins,19726613,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,,C001035,01541,N00000491,S252,S6ME00159,45738,300025,379,Susan Collins,,49703,Susan Collins
15,Cornyn,John,,,,John Cornyn,1952-02-02,M,sen,TX,,2,Republican,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,https://www.cornyn.senate.gov/contact,http://www.cornyn.senate.gov/public/?a=rss.feed,JohnCornyn,13218102,sen.johncornyn,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,,C001056,01692,N00024852,S287,S2TX00106,93131,300027,15375,John Cornyn,,40305,John Cornyn
16,Durbin,Richard,J.,,,Richard J. Durbin,1944-11-21,M,sen,IL,,2,Democrat,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,https://www.durbin.senate.gov/contact/,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,247334603,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,,D000563,00326,N00004981,S253,"S6IL00151,H2IL20026",6741,300038,26847,Dick Durbin,,15021,Dick Durbin
17,Graham,Lindsey,O.,,,Lindsey Graham,1955-07-09,M,sen,SC,,2,Republican,https://www.lgraham.senate.gov/public,211 Russell Senate Office Building Washington DC 20510,202-224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,GrahamBlog,14845376,USSenatorLindseyGraham,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,,G000359,00452,N00009975,S293,"S0SC00149,H4SC03087",36782,300047,21992,Lindsey Graham,,29566,Lindsey Graham
18,McConnell,Mitch,,,,Mitch McConnell,1942-02-20,M,sen,KY,,2,Republican,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,https://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/public/?a=rss.feed,McConnellPress,339822881,mitchmcconnell,,,,M000355,01395,N00003389,S174,S2KY00012,2351,300072,53298,Mitch McConnell,,14921,Mitch McConnell
19,Merkley,Jeff,,,,Jeff Merkley,1956-10-24,M,sen,OR,,2,Democrat,https://www.merkley.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-3753,https://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov/rss/,SenJeffMerkley,29201047,jeffmerkley,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,,M001176,01900,N00029303,S322,S8OR00207,1029842,412325,23644,Jeff Merkley,,40908,Jeff Merkley
20,Reed,John,F.,,Jack,Jack Reed,1949-11-12,M,sen,RI,,2,Democrat,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,https://www.reed.senate.gov/contact/,https://www.reed.senate.gov//rss/feeds/?type=all,SenJackReed,486694111,SenJackReed,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,,R000122,00949,N00000362,S259,"S6RI00163,H0RI02071",24239,300081,27060,Jack Reed,,29142,Jack Reed (Rhode Island politician)
21,Risch,James,E.,,,James E. Risch,1943-05-03,M,sen,ID,,2,Republican,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,https://www.risch.senate.gov/public/index.cfm?p=Email,,SenatorRisch,1096059529,senatorjimrisch,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,,R000584,01896,N00029441,S323,S8ID00092,1020034,412322,2919,Jim Risch,,40902,Jim Risch
22,Shaheen,Jeanne,,,,Jeanne Shaheen,1947-01-28,F,sen,NH,,2,Democrat,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,https://www.shaheen.senate.gov/contact/contact-jeanne,http://www.shaheen.senate.gov/rss/,SenatorShaheen,109287731,SenatorShaheen,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,,S001181,01901,N00024790,S324,S0NH00219,22850,412323,1663,Jeanne Shaheen,,40906,Jeanne Shaheen
23,Warner,Mark,R.,,,Mark R. Warner,1954-12-15,M,sen,VA,,2,Democrat,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-2023,https://www.warner.senate.gov/public/index.cfm?p=Contact,http://www.warner.senate.gov/public/?a=rss.feed,MarkWarner,7429102,MarkRWarner,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,,W000805,01897,N00002097,S327,"S6VA00093,P80003023",7630,412321,535,Mark Warner,,40909,Mark Warner
24,Gillibrand,Kirsten,E.,,,Kirsten E. Gillibrand,1966-12-09,F,sen,NY,,1,Democrat,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,https://www.gillibrand.senate.gov/contact/email-me,http://www.gillibrand.senate.gov/rss/,GillibrandNY,899978622416695297,SenKirstenGillibrand,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,,G000555,01866,N00027658,S331,"H6NY20167,S0NY00410",1022862,412223,65147,Kirsten Gillibrand,,20735,Kirsten Gillibrand
25,Coons,Christopher,Andrew,,,Christopher A. Coons,1963-09-09,M,sen,DE,,2,Democrat,https://www.coons.senate.gov,218 Russell Senate Office Building Washington DC 20510,202-224-5042,https://www.coons.senate.gov/contact,http://www.coons.senate.gov/rss/feeds/?type=all,ChrisCoons,15324851,senatorchriscoons,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,,C001088,01984,N00031820,S337,S0DE00092,9269028,412390,122834,Chris Coons,,40916,Chris Coons
26,Manchin,Joe,,III,,"Joe Manchin, III",1947-08-24,M,sen,WV,,1,Democrat,https://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3954,https://www.manchin.senate.gov/public/index.cfm/contact-form,http://www.manchin.senate.gov/public/index.cfm/rss/feed,Sen_JoeManchin,234374703,JoeManchinIII,SenatorJoeManchin,UCGyPK_ye2ptpzQgOjKIn7ag,,M001183,01983,N00032838,S338,S0WV00090,62864,412391,7547,Joe Manchin III,,40915,Joe Manchin
28,Baldwin,Tammy,,,,Tammy Baldwin,1962-02-11,F,sen,WI,,1,Democrat,https://www.baldwin.senate.gov,709 Hart Senate Office Building Washington DC 20510,202-224-5653,https://www.baldwin.senate.gov/feedback,http://www.baldwin.senate.gov/rss/feeds/?type=all,SenatorBaldwin,1074518754,senatortammybaldwin,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,,B001230,01558,N00004367,S354,"H8WI00018,S2WI00219",57884,400013,3470,Tammy Baldwin,,29940,Tammy Baldwin
29,Bennet,Michael,F.,,,Michael F. Bennet,1964-11-28,M,sen,CO,,3,Democrat,https://www.bennet.senate.gov/public,261 Russell Senate Office Building Washington DC 20510,202-224-5852,https://www.bennet.senate.gov/public/index.cfm/contact,http://www.bennet.senate.gov/rss/feeds/?type=news,SenatorBennet,224285242,senbennetco,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,,B001267,01965,N00030608,S330,S0CO00211,1031622,412330,110942,Michael Bennet,,40910,Michael Bennet
32,Blackburn,Marsha,W.,,,Marsha Blackburn,1952-06-06,F,sen,TN,,1,Republican,https://www.blackburn.senate.gov,357 Dirksen Senate Office Building Washington DC 20510,202-224-3344,https://www.blackburn.senate.gov/email-me,,MarshaBlackburn,278145569,marshablackburn,RepMarshaBlackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,,B001243,01748,N00003105,S396,"H2TN06030,S8TN00337",31226,400032,25186,Marsha Blackburn,,20351,Marsha Blackburn
34,Blumenthal,Richard,,,,Richard Blumenthal,1946-02-13,M,sen,CT,,3,Democrat,https://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov/rss/feeds/?type=all,SenBlumenthal,278124059,SenBlumenthal,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,,B001277,02076,N00031685,S341,S0CT00177,21799,412490,1568,Richard Blumenthal,,41101,Richard Blumenthal
35,Boozman,John,,,,John Boozman,1950-12-10,M,sen,AR,,3,Republican,https://www.boozman.senate.gov/public,555 Dirksen Senate Office Building Washington DC 20510,202-224-4843,https://www.boozman.senate.gov/public/index.cfm/contact,http://www.boozman.senate.gov/public/index.cfm/rss/feed,JohnBoozman,5558312,JohnBoozman,BoozmanPressOffice,UC9vWHKL5OfIYh6kIV0rF2yw,,B001236,01687,N00013873,S343,"H2AR03176,S0AR00150",92069,400040,27958,John Boozman,,20101,John Boozman
40,Capito,Shelley,Moore,,,Shelley Moore Capito,1953-11-26,F,sen,WV,,2,Republican,https://www.capito.senate.gov,172 Russell Senate Office Building Washington DC 20510,202-224-6472,https://www.capito.senate.gov/contact/contact-shelley,,SenCapito,193794406,senshelley,,UCbiXdR4XQ3vD9Xp5lfR9QXw,,C001047,01676,N00009771,S372,"H0WV02138,S4WV00159",83737,400061,11701,Shelley Moore Capito,,20146,Shelley Moore Capito
43,Cassidy,Bill,,,,Bill Cassidy,1957-09-28,M,sen,LA,,2,Republican,https://www.cassidy.senate.gov,455 Dirksen Senate Office Building Washington DC 20510,202-224-5824,https://www.cassidy.senate.gov/contact,,SenBillCassidy,1017500185356853248,,SenatorBillCassidy,UCCEyGhUzxgkxFzWCY-rxz8g,,C001075,01925,N00030245,S373,"H8LA00017,S4LA00107",1030546,412269,69494,Bill Cassidy,,20919,Bill Cassidy
55,Crapo,Michael,D.,,Mike,Mike Crapo,1951-05-20,M,sen,ID,,3,Republican,https://www.crapo.senate.gov,239 Dirksen Senate Office Building Washington DC 20510,202-224-6142,https://www.crapo.senate.gov/contact,,MikeCrapo,600463589,mikecrapo,senatorcrapo,UCMHzKHg1BE7dEcFjnayw1lA,,C000880,00250,N00006267,S266,"S8ID00027,H2ID02034",26440,300030,26830,Mike Crapo,,29345,Mike Crapo
71,Grassley,Charles,E.,,Chuck,Chuck Grassley,1933-09-17,M,sen,IA,,3,Republican,https://www.grassley.senate.gov,135 Hart Senate Office Building Washington DC 20510,202-224-3744,https://www.grassley.senate.gov/contact,http://grassley.senate.gov/customcf/rss_feed.cfm,ChuckGrassley,10615232,grassley,senchuckgrassley,UCiCPRkcLMInpDeOqGkMTt4w,,G000386,00457,N00001758,S153,S0IA00028,1167,300048,53293,Chuck Grassley,,14226,Chuck Grassley
78,Heinrich,Martin,,,,Martin Heinrich,1971-10-17,M,sen,NM,,1,Democrat,https://www.heinrich.senate.gov,303 Hart Senate Office Building Washington DC 20510,202-224-5521,https://www.heinrich.senate.gov/contact,,MartinHeinrich,1099199839,MartinHeinrich,SenMartinHeinrich,UCBxh8IK5sMxY0Ln_0G2NYcg,,H001046,01937,N00029835,S359,"H8NM01224,S2NM00088",1030686,412281,74517,Martin Heinrich,,20930,Martin Heinrich
81,Hirono,Mazie,K.,,,Mazie K. Hirono,1947-11-03,F,sen,HI,,1,Democrat,https://www.hirono.senate.gov,109 Hart Senate Office Building Washington DC 20510,202-224-6361,https://www.hirono.senate.gov/contact,http://www.hirono.senate.gov/rss/feeds/?type=all,MazieHirono,92186819,senatorhirono,CongresswomanHirono,UCcoKhxad156flzPYJ8JMFOA,,H001042,01844,N00028139,S361,"H6HI02251,S2HI00106",91216,412200,1677,Mazie K. Hirono,,20713,Mazie Hirono
82,Hoeven,John,,,,John Hoeven,1957-03-13,M,sen,ND,,3,Republican,https://www.hoeven.senate.gov,338 Russell Senate Office Building Washington DC 20510,202-224-2551,https://www.hoeven.senate.gov/public/index.cfm/email-the-senator,http://www.hoeven.senate.gov/public/index.cfm/rss/feed,SenJohnHoeven,382791093,SenatorJohnHoeven,senatorjohnhoevennd,UC1kQIC2Q_Fq9_NRqdb6eHiw,,H001061,02079,N00031688,S344,S0ND00093,85233,412494,41788,John Hoeven,,41107,John Hoeven
88,Johnson,Ron,,,,Ron Johnson,1955-04-08,M,sen,WI,,3,Republican,https://www.ronjohnson.senate.gov,328 Hart Senate Office Building Washington DC 20510,202-224-5323,https://www.ronjohnson.senate.gov/public/index.cfm/email-the-senator,http://www.ronjohnson.senate.gov/public/index.cfm/rss/feed,SenRonJohnson,233737858,senronjohnson,SenatorRonJohnson,UCG9XyTVtOAs7VX_q_QVHoaw,,J000293,02086,N00032546,S345,S0WI00197,62835,412496,126217,Ron Johnson (Wisconsin),,41111,Ron Johnson
94,Lankford,James,,,,James Lankford,1968-03-04,M,sen,OK,,3,Republican,https://www.lankford.senate.gov,316 Hart Senate Office Building Washington DC 20510,202-224-5754,https://www.lankford.senate.gov/contact/email,,SenatorLankford,225921757,SenatorLankford,SenatorLankford,UCz8T6sK5fEycyWmVz6Vpe5Q,,L000575,02050,N00031129,S378,"H0OK05114,S4OK00232",1033847,412464,124938,James Lankford,,21166,James Lankford
99,Lee,Mike,,,,Mike Lee,1971-06-04,M,sen,UT,,3,Republican,https://www.lee.senate.gov,363 Russell Senate Office Building Washington DC 20510,202-224-5444,https://www.lee.senate.gov/public/index.cfm/contact,http://www.lee.senate.gov/public/index.cfm/rss/feed,SenMikeLee,88784440,senatormikelee,senatormikelee,UCplVxs_j_sLAt0fkplXcl4A,,L000577,02080,N00031696,S346,S0UT00165,9267977,412495,66395,Mike Lee,,41110,Mike Lee
103,Luján,Ben,Ray,,,Ben Ray Luján,1972-06-07,M,sen,NM,,2,Democrat,https://www.lujan.senate.gov,498 Russell Senate Office Building Washington DC 20510,202-224-6621,https://www.lujan.senate.gov/contact/,,SenatorLujan,19318314,,,,,L000570,01939,N00029562,S409,"H8NM03196,S0NM00058",1031351,412293,102842,Ben Ray Luján,,20932,Ben Ray Luján
105,Markey,Edward,J.,,Ed,Edward J. Markey,1946-07-11,M,sen,MA,,2,Democrat,https://www.markey.senate.gov,255 Dirksen Senate Office Building Washington DC 20510,202-224-2742,https://www.markey.senate.gov/contact,,SenMarkey,21406834,EdJMarkey,RepMarkey,UCT1ujew5yQy2uMhGrjiKHoA,,M000133,00735,N00000270,S369,"H6MA07101,S4MA00028",260,400253,26900,Ed Markey,,14435,Ed Markey
116,Moran,Jerry,,,,Jerry Moran,1954-05-29,M,sen,KS,,3,Republican,https://www.moran.senate.gov,521 Dirksen Senate Office Building Washington DC 20510,202-224-6521,https://www.moran.senate.gov/public/index.cfm/e-mail-jerry,http://www.moran.senate.gov/public/index.cfm/rss/feed/,JerryMoran,18632666,jerrymoran,senatorjerrymoran,UC1oRxeUPam6-53wPBZ3N02A,,M000934,01507,N00005282,S347,"H6KS01096,S0KS00091",45469,400284,542,Jerry Moran,,29722,Jerry Moran
117,Murkowski,Lisa,A.,,,Lisa Murkowski,1957-05-22,F,sen,AK,,3,Republican,https://www.murkowski.senate.gov,522 Hart Senate Office Building Washington DC 20510,202-224-6665,https://www.murkowski.senate.gov/public/index.cfm/contact,http://www.murkowski.senate.gov/public/?a=rss.feed,LisaMurkowski,18061669,SenLisaMurkowski,senatormurkowski,UCaigku16AErqvD0wRuwGb9A,,M001153,01694,N00026050,S288,S4AK00099,1004138,300075,15841,Lisa Murkowski,,40300,Lisa Murkowski
118,Murphy,Christopher,S.,,,Christopher Murphy,1973-08-03,M,sen,CT,,1,Democrat,https://www.murphy.senate.gov,136 Hart Senate Office Building Washington DC 20510,202-224-4041,https://www.murphy.senate.gov/contact,http://www.theday.com/article/20121216/nws12/312169935/1069/rss,SenMurphyOffice,2853793517,chrismurphyct,senchrismurphy,UCbcEa40PIFpLpdDe06n3F3Q,,M001169,01837,N00027566,S364,"H6CT05124,S2CT00132",1021270,412194,17189,Christopher S. Murphy,,20707,Chris Murphy
119,Murray,Patty,,,,Patty Murray,1950-10-11,F,sen,WA,,3,Democrat,https://www.murray.senate.gov,154 Russell Senate Office Building Washington DC 20510,202-224-2621,https://www.murray.senate.gov/write-to-patty/,http://www.murray.senate.gov/public/?a=rss.feed,PattyMurray,293131808,,SenatorPattyMurray,UCb8jq3TvQ3AzKsexhWfFLoA,,M001111,01409,N00007876,S229,S2WA00189,25277,300076,53358,Patty Murray,,49308,Patty Murray
126,Paul,Rand,,,,Rand Paul,1963-01-07,M,sen,KY,,3,Republican,https://www.paul.senate.gov,295 Russell Senate Office Building Washington DC 20510,202-224-4343,https://www.paul.senate.gov/connect/email-rand,http://paul.senate.gov/rss/?p=news,SenRandPaul,1298624375692894210,SenatorRandPaul,SenatorRandPaul,UCeM9I-20oWUs8daIIpsNHoQ,,P000603,02082,N00030836,S348,S0KY00156,9265241,412492,117285,Rand Paul,,41104,Rand Paul
128,Peters,Gary,C.,,,Gary C. Peters,1958-12-01,M,sen,MI,,2,Democrat,https://www.peters.senate.gov,724 Hart Senate Office Building Washington DC 20510,202-224-6221,https://www.peters.senate.gov/contact/email-gary,,SenGaryPeters,236511574,SenGaryPeters,RepGaryPeters,UC7LYNbnKSK2VZqQ98YROWHQ,,P000595,01929,N00029277,S380,"H8MI09068,S4MI00355",50199,412305,8749,Gary Peters,,20923,Gary Peters
134,Rubio,Marco,,,,Marco Rubio,1971-05-28,M,sen,FL,,3,Republican,https://www.rubio.senate.gov,284 Russell Senate Office Building Washington DC 20510,202-224-3041,https://www.rubio.senate.gov/public/index.cfm/contact,http://www.rubio.senate.gov/public/?a=rss.feed,SenRubioPress,229966028,SenatorMarcoRubio,SenatorMarcoRubio,UCh8t7sV_DBKz4A-RkL9feyg,,R000595,02084,N00030612,S350,S0FL00338,87599,412491,1601,Marco Rubio,,41102,Marco Rubio
141,Schumer,Charles,E.,,Chuck,Charles E. Schumer,1950-11-23,M,sen,NY,,3,Democrat,https://www.schumer.senate.gov,322 Hart Senate Office Building Washington DC 20510,202-224-6542,https://www.schumer.senate.gov/contact/email-chuck,,SenSchumer,17494010,senschumer,SenatorSchumer,UC-ABttxh8uQv_10qmwGaidw,,S000148,01036,N00001093,S270,"S8NY00082,H0NY16010",5929,300087,26976,Chuck Schumer,,14858,Chuck Schumer
146,Scott,Tim,,,,Tim Scott,1965-09-19,M,sen,SC,,3,Republican,https://www.scott.senate.gov,104 Hart Senate Office Building Washington DC 20510,202-224-6121,https://www.scott.senate.gov/contact/email-me,http://www.scott.senate.gov/rss.xml,SenatorTimScott,217543151,SenatorTimScott,SenatorTimScott,UCSfAsbG80CNInSKrtpKoL-w,,S001184,02056,N00031782,S365,"H0SC01279,S4SC00240",623506,412471,11940,Tim Scott,,21173,Tim Scott
157,Thune,John,,,,John Thune,1961-01-07,M,sen,SD,,3,Republican,https://www.thune.senate.gov,511 Dirksen Senate Office Building Washington DC 20510,202-224-2321,https://www.thune.senate.gov/public/index.cfm/contact,http://www.thune.senate.gov/public/index.cfm/rss/feed,SenJohnThune,296361085,,johnthune,UCRu6lpRfxhkDGUrKDgQNZYQ,,T000250,01534,N00004572,S303,"S2SD00068,H6SD00085",45552,400546,398,John Thune,,29754,John Thune
160,Van Hollen,Chris,,,,Chris Van Hollen,1959-01-10,M,sen,MD,,3,Democrat,https://www.vanhollen.senate.gov,110 Hart Senate Office Building Washington DC 20510,202-224-4654,https://www.vanhollen.senate.gov/contact/email,,ChrisVanHollen,18137749,chrisvanhollen,RepChrisVanHollen,UCkpfJWu1N9Okd6PE_NidtBQ,,V000128,01729,N00013820,S390,"H2MD08126,S6MD03441",20756,400415,6098,Chris Van Hollen,,20330,Chris Van Hollen
166,Welch,Peter,,,,Peter Welch,1947-05-02,M,sen,VT,,3,Democrat,https://www.welch.senate.gov,G12 Russell Senate Office Building Washington DC 20510,202-224-4242,https://www.welch.senate.gov/,,PeterWelch,1410590874,PeterWelch,reppeterwelch,UC0YfApJx6qNaAQ-ir93U8xA,,W000800,01879,N00000515,S422,"H6VT00160,H8VT00034",1019990,412239,51272,Peter Welch,,20750,Peter Welch
