,BIOID,Unnamed: 1,COUNTRY NAME,TIME SPECIFIC COUNTRY NAME,COUNTRY ID,COUNTRY TEXT ID,COW COUNTRY ID,FNAME_ORIG,LNAME_ORIG,FNAME,LNAME,FullName,GOVTWIT,GOVTWIT_ID,PTWIT ,PTWIT_ID,OTWIT,OTWIT_ID,OTWIT_TYPE,OTWIT_2,OTWIT_ID_2,OTWIT_TYPE_2,OTWIT_3,OTWIT_ID_3,OTWIT_TYPE_3,OTWIT_4,OTWIT_ID_4,OTWIT_TYPE_4,OTWIT_5,OTWIT_ID_5,OTWIT_TYPE_5,OTWIT_6,OTWIT_ID_6,OTWIT_TYPE_6,OFFICE1,OFFICE1_LEVEL,OFFICE1_CONSTITUENCYLEVEL1,OFFICE1_CONSTITUENCYLEVEL2,OFFICE1_CONSTITUENCYLEVEL3,OFFICE1_CONSTITUENCYLEVEL4,OFFICE1_CONSTITUENCYLEVEL5,OFFICE1_TERRITORIAL,OFFICE1_RESERVED,OFFICE1_ELECTORALSYSTEM,OFFICE1_MAGNITUDE,OFFICE1_CLOSEDLIST,OFFICE1_LISTNUM,OFFICE1_ROUND,OFFICE1_MAXROUNDS,OFFICE1_TERMLENGTH,OFFICE1_ELECTION RESULT PRIMARY,OFFICE1_ASSUMED OFFICE,OFFICE1_RESULT DISCREPANCY,OFFICE2,OFFICE2_LEVEL,OFFICE2_CONSTITUENCYLEVEL1,OFFICE2_CONSTITUENCYLEVEL2,OFFICE2_CONSTITUENCYLEVEL3,OFFICE2_CONSTITUENCYLEVEL4,OFFICE2_CONSTITUENCYLEVEL5,OFFICE2_TERRITORIAL,OFFICE2_RESERVED,OFFICE2_ELECTORALSYSTEM,OFFICE2_MAGNITUDE,OFFICE2_CLOSEDLIST,OFFICE2_LISTNUM,OFFICE2_ROUND,OFFICE2_MAXROUNDS,OFFICE2_TERMLENGTH,OFFICE2_ELECTION RESULT,OFFICE2_ASSUMED OFFICE,OFFICE2_RESULT DISCREPANCY,INDEPENDENT,"PARTY NAME, ENGLISH","PARTY NAME, ORIGINAL",PARTY SHORT NAME,NUMERIC PARTY IDENTIFIER,PARTY FACTS ID,CMPCODE,CHES PARTY CODE,GPS PARTY CODE,"LIST NAME, ORIGINAL",OFFICE1_INCUMBENT,OFFICE2_INCUMBENT,YEAR-START,MONTH-START,DAY-START,YEAR-END,MONTH-END,DAY-END,GENDER,BIRTHDATE,EDUCATION,EDUCATION DISCIPLINE,ETHNICITY/RACE ,IMMIGRANT ,COUNTRY OF BIRTH,CURRENT PROFESSION,PRE-POLITICAL PROFESSION,OFFICE1_LAST CANDIDATE,OFFICE2_LAST CANDIDATE,LAST NATIONAL LEGISLATIVE CANDIDATE,PRIOR NATIONAL LEGISLATIVE CANDIDATE COUNT,PRIOR NATIONAL LEGISLATIVE CANDIDATE COUNT COMPLETE,LAST NATIONAL EXECUTIVE CANDIDATE,PRIOR NATIONAL EXECUTIVE CANDIDATE COUNT,PRIOR NATIONAL EXECUTIVE CANDIDATE COUNT COMPLETE,PRIOR HIGH PUBLIC OFFICE NAME 1,PRIOR HIGH PUBLIC OFFICE NAME ENGLISH 1,PRIOR HIGH PUBLIC OFFICE TYPE 1,PRIOR HIGH PUBLIC OFFICE LEVEL 1,PRIOR HIGH PUBLIC OFFICE START 1,PRIOR HIGH PUBLIC OFFICE END 1,PRIOR HIGH PUBLIC OFFICE 2..N,OTHER POLITICAL EXPERIENCE ,FEC_ID,EDUCATION DISCIPLINE GRADUATE,ETHNICITY,VETERAN,MODIFIED,COMMENTS,OFFICE1_ELECTION_RESULT_GENERAL,334,state_abb
1075,160206,,United States of America,,,,,Mike,Crapo,Mike,Crapo,Mike Crapo,MikeCrapo,600463589,,,crapoforsenate,413160266,,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Idaho,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S8ID00027,,,,0,,1,1,ID
1114,170209,,United States of America,,,,,Tammy,Duckworth,Tammy,Duckworth,Tammy Duckworth,SenDuckworth,1058520120,,,TammyDuckworth,328679423,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,S6IL00292,,,,0,,1,1,IL
1476,180206,,United States of America,,,,,Todd,Young,Todd,Young,Todd Young,SenToddYoung,234128524,,,ToddYoungIN,59969802,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Indiana,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S6IN00191,,,,0,,1,1,IN
1756,190202,,United States of America,,,,,Chuck,Grassley,Chuck,Grassley,Chuck  Grassley,ChuckGrassley,10615232,,,GrassleyWorks,118740781,2,GrassleyPress,294126378,3,,,,,,,,,,,,,U.S. Senate,1,United States of America,Iowa,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S0IA00028,,,,0,,1,1,IA
1759,200208,,United States of America,,,,,Jerry,Moran,Jerry,Moran,Jerry Moran,JerryMoran,18632666,,,moranforkansas,18632809,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Kansas,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S0KS00091,,,,0,,1,1,KS
1795,210208,,United States of America,,,,,,,Rand,Paul,Rand Paul,SenRandPaul,1298624375692894210,DrRandPaul,39834947,RandPaul,216881337,,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Kentucky,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,1963-01-07 00:00:00,4,,White,0,USA,11,22,1,,0,2,1,0,1,1,,,,,,,,"3, 6",S0KY00156,5,,,0,,1,1,KY
1877,220205,,United States of America,,,,,John Neely,Kennedy,John Neely,Kennedy,John Neely Kennedy,SenJohnKennedy,816683274076614656,,,JohnKennedyLA,26594419,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,White,,,,,,,,,,,,,,,,,,,,,S4LA00065,,,,0,,1,1,LA
1944,2402011,,United States of America,,,,,Chris Van,Hollen,Chris Van,Hollen,Chris Van Hollen,ChrisVanHollen,18137749,,,VanHollenForMD,3067974778,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Maryland,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S6MD03441,,,,0,,1,1,MD
2112,290202,,United States of America,,,,,Eric,Schmitt,Eric,Schmitt,Eric Schmitt,AGEricSchmitt,1525976077,,,Eric_Schmitt,101852818,2,Schmitt4Senate,1374687650226053122,2,,,,,,,,,,,,,U.S. Senate,1,United States of America,Missouri,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,MO
2133,320206,,United States of America,,,,,Catherine,Cortez Masto,Catherine,Cortez Masto,Catherine Cortez Masto,SenCortezMasto,811313565760163844,,,CortezMasto,3145735852,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Nevada,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,S6NV00200,,,,0,,1,1,NV
2242,330201,,United States of America,,,,,"Margaret Wood ""Maggie""",Hassan,"Margaret Wood ""Maggie""",Hassan,Margaret Wood  Hassan,SenatorHassan,946549322,,,Maggie_Hassan,361569788,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,S2NH00223,,,,0,,1,1,NH
2245,360201,,United States of America,,,,,Charles E.,Schumer,Charles E.,Schumer,Charles E.  Schumer,SenSchumer,17494010,,,chuckschumer,1872999342,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat/Working Families,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S8NY00082,,,,0,,1,1,NY
2421,3702015,,United States of America,,,,,"Theodore Paul ""Ted""",Budd,"Theodore Paul ""Ted""",Budd,Theodore Paul Budd,RepTedBudd,817138492614524928,,,TedBuddNC,720353279176081408,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,North Carolina,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S2NC00505,,,,0,,1,1,NC
3834,380202,,United States of America,,,,,,,John,Hoeven,John Hoeven,SenJohnHoeven,382791093,,,hoeven4senate,106733567,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,North Dakota,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S0ND00093,,,,0,,1,1,ND
4730,3902013,,United States of America,,,,,J.D.,Vance,J.D.,Vance,J.D. Vance,,,,,JDVance1,1542228578,2,JDVancePress,1410590377682378755,3,,,,,,,,,,,,,U.S. Senate,1,United States of America,Ohio,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S2OH00436,,,,0,,1,1,OH
4829,400201,,United States of America,,,,,Markwayne,Mullin,Markwayne,Mullin,Markwayne Mullin,RepMullin,1060370282,,,MarkwayneMullin,366304362,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Oklahoma,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S2OK00186,,,,0,,1,1,OK
4857,4002017,,United States of America,,,,,James,Lankford,James,Lankford,James Lankford,SenatorLankford,225921757,,,jameslankford,27044466,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Oklahoma,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S4OK00232,,,,0,,1,1,OK
4867,410203,,United States of America,,,,,Ron,Wyden,Ron,Wyden,Ron Wyden,RonWyden,250188760,,,WydenForOregon,122124607,2,WydenPress,292495654,3,,,,,,,,,,,,,U.S. Senate,1,United States of America,Oregon,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S6OR00110,,,,0,,1,1,OR
4912,420204,,United Staes of America,,,,,John,Fetterman,John,Fetterman,John Fetterman,FettermanLt,1169638221480939521,,,JohnFetterman,3622368202,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Pennsylvania,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S6PA00274,,,,0,,1,1,PA
5881,450204,,United States of America,,,,,Tom,Scott,Tom,Scott,Tom Scott,SenatorTimScott,217543151,,,votetimscott,81191343,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,South Carolina,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S4SC00240,,,,0,,1,1,SC
5929,460202,,United States of America,,,,,John R.,Thune,John R.,Thune,John R.  Thune,SenJohnThune,296361085,,,johnthune,26533227,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,South Dakota,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S2SD00068,,,,0,,1,1,SD
7071,4902012,,United States of America,,,,,Mike,Lee,Mike,Lee,Mike Lee,SenMikeLee,88784440,,,MikeLeeforUtah,2164909022,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Utah,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S0UT00165,,,,0,,1,1,UT
8005,500207,,United States of America,,,,,Peter,Welch,Peter,Welch,Peter Welch,PeterWelch,1410590874,,,WelchForVT,499109830,2,,,,,,,,,,,,,,,,U.S. Senator,1,United States of America,Vermont,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S2VT00235,,,,0,,1,1,VT
9827,5302013,,United States of America,,,,,Patty,Murray,Patty,Murray,Patty Murray,PattyMurray,293131808,,,MurrayCampaign,158470209,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Washington,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,S2WA00189,,,,0,,1,1,WA
9835,550209,,United States of America,,,,,Ron,Johnson,Ron,Johnson,Ron Johnson,SenRonJohnson,233737858,,,RonJohnsonWI,142332083,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Wisconsin,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S0WI00197,,,,0,,1,1,WI
