BIOID,,COUNTRY NAME,TIME SPECIFIC COUNTRY NAME,COUNTRY ID,COUNTRY TEXT ID,COW COUNTRY ID,FNAME_ORIG,LNAME_ORIG,FNAME,LNAME,FullName,GOVTWIT,GOVTWIT_ID,PTWIT ,PTWIT_ID,OTWIT,OTWIT_ID,OTWIT_TYPE,OTWIT_2,OTWIT_ID_2,OTWIT_TYPE_2,OTWIT_3,OTWIT_ID_3,OTWIT_TYPE_3,OTWIT_4,OTWIT_ID_4,OTWIT_TYPE_4,OTWIT_5,OTWIT_ID_5,OTWIT_TYPE_5,OTWIT_6,OTWIT_ID_6,OTWIT_TYPE_6,OFFICE1,OFFICE1_LEVEL,OFFICE1_CONSTITUENCYLEVEL1,OFFICE1_CONSTITUENCYLEVEL2,OFFICE1_CONSTITUENCYLEVEL3,OFFICE1_CONSTITUENCYLEVEL4,OFFICE1_CONSTITUENCYLEVEL5,OFFICE1_TERRITORIAL,OFFICE1_RESERVED,OFFICE1_ELECTORALSYSTEM,OFFICE1_MAGNITUDE,OFFICE1_CLOSEDLIST,OFFICE1_LISTNUM,OFFICE1_ROUND,OFFICE1_MAXROUNDS,OFFICE1_TERMLENGTH,OFFICE1_ELECTION RESULT PRIMARY,OFFICE1_ASSUMED OFFICE,OFFICE1_RESULT DISCREPANCY,OFFICE2,OFFICE2_LEVEL,OFFICE2_CONSTITUENCYLEVEL1,OFFICE2_CONSTITUENCYLEVEL2,OFFICE2_CONSTITUENCYLEVEL3,OFFICE2_CONSTITUENCYLEVEL4,OFFICE2_CONSTITUENCYLEVEL5,OFFICE2_TERRITORIAL,OFFICE2_RESERVED,OFFICE2_ELECTORALSYSTEM,OFFICE2_MAGNITUDE,OFFICE2_CLOSEDLIST,OFFICE2_LISTNUM,OFFICE2_ROUND,OFFICE2_MAXROUNDS,OFFICE2_TERMLENGTH,OFFICE2_ELECTION RESULT,OFFICE2_ASSUMED OFFICE,OFFICE2_RESULT DISCREPANCY,INDEPENDENT,"PARTY NAME, ENGLISH","PARTY NAME, ORIGINAL",PARTY SHORT NAME,NUMERIC PARTY IDENTIFIER,PARTY FACTS ID,CMPCODE,CHES PARTY CODE,GPS PARTY CODE,"LIST NAME, ORIGINAL",OFFICE1_INCUMBENT,OFFICE2_INCUMBENT,YEAR-START,MONTH-START,DAY-START,YEAR-END,MONTH-END,DAY-END,GENDER,BIRTHDATE,EDUCATION,EDUCATION DISCIPLINE,ETHNICITY/RACE ,IMMIGRANT ,COUNTRY OF BIRTH,CURRENT PROFESSION,PRE-POLITICAL PROFESSION,OFFICE1_LAST CANDIDATE,OFFICE2_LAST CANDIDATE,LAST NATIONAL LEGISLATIVE CANDIDATE,PRIOR NATIONAL LEGISLATIVE CANDIDATE COUNT,PRIOR NATIONAL LEGISLATIVE CANDIDATE COUNT COMPLETE,LAST NATIONAL EXECUTIVE CANDIDATE,PRIOR NATIONAL EXECUTIVE CANDIDATE COUNT,PRIOR NATIONAL EXECUTIVE CANDIDATE COUNT COMPLETE,PRIOR HIGH PUBLIC OFFICE NAME 1,PRIOR HIGH PUBLIC OFFICE NAME ENGLISH 1,PRIOR HIGH PUBLIC OFFICE TYPE 1,PRIOR HIGH PUBLIC OFFICE LEVEL 1,PRIOR HIGH PUBLIC OFFICE START 1,PRIOR HIGH PUBLIC OFFICE END 1,PRIOR HIGH PUBLIC OFFICE 2..N,OTHER POLITICAL EXPERIENCE ,FEC_ID,EDUCATION DISCIPLINE GRADUATE,ETHNICITY,VETERAN,MODIFIED,COMMENTS,OFFICE1_ELECTION_RESULT_GENERAL,334
480111,,United States of America,,,,,,,Gavin,Dass,Gavin Dass,,,Gavin_Dass,73971968,Gavin4Congress,1468431788255354881,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480112,,United States of America,,,,,,,Victor D.,Dunn,Victor D. Dunn,,,victordunn,25041386,dunn4congress,3275869213,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480113,,United States of America,,,,,,,Jrmar (JJ),Jefferson,Jrmar Jefferson,,,,,JrmarJefferson,2345033748,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
480114,,United States of America,,,,,,,Stephen,Kocen,Stephen Kocen,,,,,Kocen4Congress,1467205492246077441,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480115,,United States of America,,,,,,,"Aditya ""A.D.""",Atholi,Aditya Atholi,,,,,Atholi4Congress,1438554171360305154,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480116,,United States of America,,,,,,,Joe,McDaniel,Joe McDaniel,,,,,joemcd2,110902866,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480117,,United States of America,,,,,,,Nathaniel,Moran,Nathaniel Moran,,,,,moran4congress,1464256502001188873,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
480118,,United States of America,,,,,,,John ,Porro,John  Porro,,,,,johnporro4TX,1409993873917579266,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480121,,United States of America,,,,,,,Robin,Flulford,Robin Flulford,,,RobinDFulford,42133917,RobinFulfordTX,1455720390655873025,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
480122,,United States of America,,,,,,,Dan,Crenshaw,Dan Crenshaw,RepDanCrenshaw,1080894931311431682,,,DanCrenshawTX,930552552302792705,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
480123,,United States of America,,,,,,,Jameson,Ellis,Jameson Ellis,,,,,thejamesonellis,241682441,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480124,,United States of America,,,,,,,Martin ,Etwop,Martin  Etwop,,,MartinEtwop,4701448002,,,,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480125,,United States of America,,,,,,,Milam,Langella,Milam Langella,,,,,Milam2022,1470834999335264265,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480131,,United States of America,,,,,,,Doc,Shelby,Doc Shelby,,,ShelbyDoc,1402930882709704710,docshelby2022,1357376307949101056,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480132,,United States of America,,,,,,,Sandeep,Srivastava,Sandeep Srivastava,,,,,sandeepfortexas,1430170672068767756,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
480133,,United States of America,,,,,,,Suzanne,Harp,Suzanne Harp,,,,,RealSuzanneHarp,74038401,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480134,,United States of America,,,,,,,Jeremy D. ,Ivanovskis,Jeremy D.  Ivanovskis,,,,,,,,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480135,,United States of America,,,,,,,Keith,Self,Keith Self,,,,,SelfForCongress,1440271846042001412,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
480136,,United States of America,,,,,,,Van,Taylor,Van Taylor,RepVanTaylor,1075040139351597056,,,VanTaylorTX,21826591,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480137,,United States of America,,,,,,,Rickey,Williams,Rickey Williams,,,,,rickey4congress,1469027909817929728,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480138,,United States of America,,,,,,,Jeff,Simmons,Jeff Simmons,,,,,JeffSimmons6,417921147,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480139,,United States of America,,,,,,,Roger,Barone,Roger Barone,,,,,RogerBarone,29235777,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
4801310,,United States of America,,,,,,,Cody,Knight,Cody Knight,,,,,,,,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
481311,,United States of America,,,,,,,Christopher ,Claytor,Christopher  Claytor,,,,,,,,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Libertarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
480141,,United States of America,,,,,,,Iro,Omere,Iro Omere,,,,,IroghamaTX,594041308,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
480142,,United States of America,,,,,,,Pat,Fallon,Pat Fallon,RepPatFallon,1343258042704527362,,,FallonForTexas,256157258,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
480143,,United States of America,,,,,,,John E.,Harper,John E. Harper,,,,,,,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 4,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480144,,United States of America,,,,,,,Dan,Thomas,Dan Thomas,,,,,DanNewsMan,18245387,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 4,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480145,,United States of America,,,,,,,John,Simmons,John Simmons,,,,,,,,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Libertarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
480151,,United States of America,,,,,,,Kathleen Cordelia,Bailey,Kathleen Cordelia Bailey,,,,,KCBailey2022,1399081999025967108,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480152,,United States of America,,,,,,,Tartisha,Hill,Tartisha Hill,,,TartishaH,341165983,TartishaHill,1471594836423761922,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
480153,,United States of America,,,,,,,Lance,Gooden,Lance Gooden,,,,,Lancegooden,1029094268542099457,1,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 5,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
480154,,United States of America,,,,,,,Ruth,Torres,Ruth Torres,,,,,TruthinCongress,875906810,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
480155,,United States of America,,,,,,,Kevin A. ,Hale,Kevin A.  Hale,,,,,HaleGive,1139196533419720704,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Libertarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
480161,,United States of America,,,,,,,Jake ,Ellzey,Jake  Ellzey,RepEllzey,1366523868253458437,,,JakeEllzey,2178511998,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
480162,,United States of America,,,,,,,James,Buford,James Buford,,,,,JamesBu74790136,1434193728655306762,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 6,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480163,,United States of America,,,,,,,Bill,Payne,Bill Payne,,,,,,,,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 6,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480164,,United States of America,,,,,,,Takona,Scauflaire,Takona Scauflaire,,,,,,,,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
480171,,United States of America,,,,,,,Lizze ,Fletcher,Lizze  Fletcher,RepFletcher,1075904377221722113,,,Lizzie4Congress,857009033882083329,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
480172,,United States of America,,,,,,,Rudy A.,Atencio,Rudy A. Atencio,,,,,rudy_atencio,736297793170464771,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,Texas,Congressional District 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
